cell	locus	chr	pos	significant	dist_bp	dist_bp_any_record	min_fdr
melanoma x Soskic_CD4	12_24	12		False	2773909.0	2773909.0	0.7235954588331581
melanoma x Soskic_CD4	12_25	12		False	3923426.0	3923426.0	0.3371332778011059
melanoma x Soskic_CD4	12_26	12		False	6959056.0	6959056.0	0.967217734018947
melanoma x Soskic_CD4	12_27	12		False	15873920.0	15873920.0	0.7205488194757473
melanoma x Soskic_CD4	12_3	12		False	1926686.0	1926686.0	0.532450672822355
melanoma x Soskic_CD4	12_4	12		False	448698.0	448698.0	0.794213817547244
melanoma x Soskic_CD4	12_5	12		False	4310739.0	4310739.0	0.7205488194757473
melanoma x Soskic_CD4	12_6	12		False	11269005.0	11269005.0	0.930208024792709
melanoma x Soskic_CD4	12_7	12		False	13967963.0	13967963.0	0.5770419036837664
melanoma x Soskic_CD4	12_8	12		False	25165180.0	25165180.0	0.9342643220245216
melanoma x Soskic_CD4	12_9	12		False	29064309.0	29064309.0	0.770327875808136
melanoma x Soskic_CD4	13_0	13		False	48192667.0	48192667.0	0.794213817547244
melanoma x Soskic_CD4	13_1	13		False	42974072.0	42974072.0	0.3125628705553847
melanoma x Soskic_CD4	13_10	13		False	319155.0	319155.0	0.7272106307827402
melanoma x Soskic_CD4	13_2	13		False	31873093.0	31873093.0	0.7205488194757473
melanoma x Soskic_CD4	13_3	13		False	28998867.0	28998867.0	0.770327875808136
melanoma x Soskic_CD4	13_4	13		False	25706805.0	25706805.0	0.6162884538719846
melanoma x Soskic_CD4	13_5	13		False	3619580.0	3619580.0	0.8062250788335003
melanoma x Soskic_CD4	13_6	13		False	18253342.0	18253342.0	0.448654818775777
melanoma x Soskic_CD4	13_7	13		False	10254319.0	10254319.0	0.8579257698818579
melanoma x Soskic_CD4	13_8	13		False	4561581.0	4561581.0	0.6983365091322331
melanoma x Soskic_CD4	13_9	13		False	1985841.0	1985841.0	0.7830707196295082
melanoma x Soskic_CD4	14_0	14		False	40901237.0	40901237.0	0.470754026375941
melanoma x Soskic_CD4	14_1	14		False	39491085.0	39491085.0	0.8754154033799069
melanoma x Soskic_CD4	14_10	14		False	11439146.0	11439146.0	0.930208024792709
melanoma x Soskic_CD4	14_11	14		False	212333.0	212333.0	0.7830707196295082
melanoma x Soskic_CD4	14_12	14		False	870467.0	870467.0	0.8295347880390685
melanoma x Soskic_CD4	14_13	14		False	4016915.0	4016915.0	0.8173421397723956
melanoma x Soskic_CD4	14_14	14		False	2918260.0	2918260.0	0.5216426374390972
melanoma x Soskic_CD4	14_15	14		False	1691527.0	1691527.0	0.770327875808136
melanoma x Soskic_CD4	14_16	14		False	30191.0	30191.0	0.7525764755187714
melanoma x Soskic_CD4	14_17	14		False	1271846.0	1271846.0	0.770327875808136
melanoma x Soskic_CD4	14_2	14		False	32495549.0	32495549.0	0.9753343628178816
melanoma x Soskic_CD4	14_3	14		False	29203164.0	29203164.0	0.3761786217501859
melanoma x Soskic_CD4	14_4	14		False	11234445.0	11234445.0	0.770327875808136
melanoma x Soskic_CD4	14_5	14		False	8787028.0	8787028.0	0.3396856766100953
melanoma x Soskic_CD4	14_6	14		False	3784314.0	3784314.0	0.5100523660013497
melanoma x Soskic_CD4	14_7	14		False	301290.0	301290.0	0.6747053996504272
melanoma x Soskic_CD4	14_8	14		False	1160942.0	1160942.0	0.8672893586450833
melanoma x Soskic_CD4	14_9	14		False	4823068.0	4823068.0	0.3811992583684619
melanoma x Soskic_CD4	15_0	15		False	116850.0	116850.0	0.770327875808136
melanoma x Soskic_CD4	15_1	15		False	5466182.0	5466182.0	0.9618124186918772
melanoma x Soskic_CD4	15_10	15		False	27327452.0	27327452.0	0.5971821891105529
melanoma x Soskic_CD4	15_11	15		False	29311375.0	29311375.0	0.4456466161083744
melanoma x Soskic_CD4	15_12	15		False	33215834.0	33215834.0	0.6004720641386387
melanoma x Soskic_CD4	15_13	15		False	41615823.0	41615823.0	0.6428646898113276
melanoma x Soskic_CD4	15_14	15		False	51006093.0	51006093.0	0.7205488194757473
melanoma x Soskic_CD4	15_2	15	40804407.0	True	7275442.0	4807792.0	0.0019422610084741
melanoma x Soskic_CD4	15_3	15		False	2462575.0	2462575.0	0.930208024792709
melanoma x Soskic_CD4	15_4	15		False	198693.0	198693.0	0.9124364015922388
melanoma x Soskic_CD4	15_5	15		False	1451086.0	1451086.0	0.8579257698818579
melanoma x Soskic_CD4	15_6	15		False	7090318.0	7090318.0	0.8534797046190429
melanoma x Soskic_CD4	15_7	15		False	14938556.0	14938556.0	0.4456466161083744
melanoma x Soskic_CD4	15_8	15		False	16763463.0	16763463.0	0.3254055138829976
melanoma x Soskic_CD4	15_9	15		False	18211739.0	18211739.0	0.2200507783623877
melanoma x Soskic_CD4	16_0	16		False	51165918.0	51165918.0	0.4436758562263233
melanoma x Soskic_CD4	16_1	16		False	44977530.0	44977530.0	0.3192541533898165
melanoma x Soskic_CD4	16_10	16		False	2841235.0	2841235.0	0.9433054842801402
melanoma x Soskic_CD4	16_11	16		False	2034101.0	2034101.0	0.770327875808136
melanoma x Soskic_CD4	16_12	16		False	348692.0	348692.0	0.5084834589100321
melanoma x Soskic_CD4	16_13	16		False	5518936.0	5518936.0	0.6083519818044568
melanoma x Soskic_CD4	16_14	16		False	4920156.0	4920156.0	0.804078112851686
melanoma x Soskic_CD4	16_15	16		False	1048727.0	1048727.0	0.7205488194757473
melanoma x Soskic_CD4	16_16	16		False	2886731.0	2886731.0	0.8794459562571854
melanoma x Soskic_CD4	16_17	16	89625361.0	True	11067.0	11067.0	0.0
melanoma x Soskic_CD4	16_2	16		False	41318288.0	41318288.0	0.5708628575304568
melanoma x Soskic_CD4	16_3	16		False	38350789.0	38350789.0	0.8849430935321195
melanoma x Soskic_CD4	16_4	16		False	34388402.0	34388402.0	0.8961475808483428
melanoma x Soskic_CD4	16_5	16		False	30050620.0	30050620.0	0.6795874520985451
melanoma x Soskic_CD4	16_6	16		False	26736778.0	26736778.0	0.9903100236716476
melanoma x Soskic_CD4	16_7	16		False	22585725.0	22585725.0	0.5126793026453951
melanoma x Soskic_CD4	16_8	16		False	3746308.0	3746308.0	0.794213817547244
melanoma x Soskic_CD4	16_9	16		False	1165833.0	1165833.0	0.3192541533898165
melanoma x Soskic_CD4	17_0	17		False	7265597.0	7265597.0	0.6700954747459885
melanoma x Soskic_CD4	17_1	17		False	5360727.0	5360727.0	0.4758354746253902
melanoma x Soskic_CD4	17_10	17		False	28823318.0	28823318.0	0.8111399750519322
melanoma x Soskic_CD4	17_11	17		False	31077025.0	31077025.0	0.7061286557910622
melanoma x Soskic_CD4	17_12	17		False	32125275.0	32125275.0	0.6613700692026203
melanoma x Soskic_CD4	17_13	17		False	34154837.0	34154837.0	0.8672893586450833
melanoma x Soskic_CD4	17_14	17	46165240.0	True	38493779.0	36448384.0	0.009874551751809
melanoma x Soskic_CD4	17_15	17		False	39610017.0	39610017.0	0.3333034982529688
melanoma x Soskic_CD4	17_16	17		False	42742123.0	42742123.0	0.6795874520985451
melanoma x Soskic_CD4	17_17	17		False	47285830.0	47285830.0	0.4436758562263233
melanoma x Soskic_CD4	17_18	17		False	50678834.0	50678834.0	0.8672893586450833
melanoma x Soskic_CD4	17_19	17		False	52407508.0	52407508.0	0.9120392102242578
melanoma x Soskic_CD4	17_2	17		False	2236881.0	2236881.0	0.3192541533898165
melanoma x Soskic_CD4	17_20	17		False	56118966.0	56118966.0	0.4758354746253902
melanoma x Soskic_CD4	17_21	17		False	60507235.0	60507235.0	0.770327875808136
melanoma x Soskic_CD4	17_22	17		False	65919977.0	65919977.0	0.7205488194757473
melanoma x Soskic_CD4	17_23	17		False	68349292.0	68349292.0	0.2200507783623877
melanoma x Soskic_CD4	17_24	17		False	72415767.0	72415767.0	0.3458362185313404
melanoma x Soskic_CD4	17_3	17		False	114399.0	114399.0	0.266805150737592
melanoma x Soskic_CD4	17_4	17		False	3000773.0	3000773.0	0.6553324435464742
melanoma x Soskic_CD4	17_5	17		False	8759670.0	8759670.0	0.8543662821808141
melanoma x Soskic_CD4	17_6	17		False	9994511.0	9994511.0	0.201776219498106
melanoma x Soskic_CD4	17_7	17		False	21894536.0	21894536.0	0.770327875808136
melanoma x Soskic_CD4	17_8	17		False	24846115.0	24846115.0	0.6700954747459885
melanoma x Soskic_CD4	17_9	17		False	27533335.0	27533335.0	0.8648104852132041
melanoma x Soskic_CD4	18_0	18		False			0.9961562659904708
melanoma x Soskic_CD4	18_1	18		False			0.7205488194757473
melanoma x Soskic_CD4	18_10	18		False			0.7941480330947527
melanoma x Soskic_CD4	18_11	18		False			0.8454306517873427
melanoma x Soskic_CD4	18_2	18		False			0.7205488194757473
melanoma x Soskic_CD4	18_3	18		False			0.8806378599398026
melanoma x Soskic_CD4	18_4	18		False			0.7718873938862659
melanoma x Soskic_CD4	18_5	18		False			0.8416112834623938
melanoma x Soskic_CD4	18_6	18		False			0.3192541533898165
melanoma x Soskic_CD4	18_7	18		False			0.7205488194757473
melanoma x Soskic_CD4	18_8	18		False			0.5904904702402957
melanoma x Soskic_CD4	18_9	18		False			0.5100523660013497
melanoma x Soskic_CD4	19_0	19		False	2249545.0	2249545.0	0.2937937883151974
melanoma x Soskic_CD4	19_1	19		False	417087.0	417087.0	0.1901431436794668
melanoma x Soskic_CD4	19_10	19		False	30624960.0	30624960.0	0.4984708058833531
melanoma x Soskic_CD4	19_11	19		False	35077542.0	35077542.0	0.4970700604947447
melanoma x Soskic_CD4	19_12	19		False	39972226.0	39972226.0	0.8207827305748526
melanoma x Soskic_CD4	19_13	19		False	41550371.0	41550371.0	0.5100523660013497
melanoma x Soskic_CD4	19_14	19		False	44562733.0	44562733.0	0.5001419103248055
melanoma x Soskic_CD4	19_15	19		False	48838491.0	48838491.0	0.3953948594669627
melanoma x Soskic_CD4	19_16	19		False	53826285.0	53826285.0	0.6700954747459885
melanoma x Soskic_CD4	19_2	19		False	825681.0	825681.0	0.2200507783623877
melanoma x Soskic_CD4	19_3	19		False	2235511.0	2235511.0	0.8829496972724188
melanoma x Soskic_CD4	19_4	19		False	3382420.0	3382420.0	0.5100523660013497
melanoma x Soskic_CD4	19_5	19		False	6067514.0	6067514.0	0.6628265767024986
melanoma x Soskic_CD4	19_6	19		False	9128849.0	9128849.0	0.770327875808136
melanoma x Soskic_CD4	19_7	19		False	13505419.0	13505419.0	0.2705192986258795
melanoma x Soskic_CD4	19_8	19		False	17370730.0	17370730.0	0.2200507783623877
melanoma x Soskic_CD4	19_9	19		False	28798814.0	28798814.0	0.6004720641386387
melanoma x Soskic_CD4	1_0	1		False	22960712.0	22960712.0	0.5609136711574241
melanoma x Soskic_CD4	1_1	1		False	21866150.0	21866150.0	0.7830707196295082
melanoma x Soskic_CD4	1_10	1		False	13042974.0	13042974.0	0.3125628705553847
melanoma x Soskic_CD4	1_11	1		False	17919237.0	17919237.0	0.304696028641554
melanoma x Soskic_CD4	1_12	1		False	16930529.0	16930529.0	0.4788669864984165
melanoma x Soskic_CD4	1_13	1		False	10597951.0	10597951.0	0.770327875808136
melanoma x Soskic_CD4	1_14	1		False	4716365.0	4716365.0	0.663889110151059
melanoma x Soskic_CD4	1_15	1		False	194340.0	194340.0	0.5100523660013497
melanoma x Soskic_CD4	1_16	1		False	7100689.0	7100689.0	0.951864829936292
melanoma x Soskic_CD4	1_17	1		False	3786808.0	3786808.0	0.8454306517873427
melanoma x Soskic_CD4	1_18	1		False	2199882.0	2199882.0	0.9055144442144224
melanoma x Soskic_CD4	1_19	1		False	173109.0	173109.0	0.0593486593254975
melanoma x Soskic_CD4	1_2	1		False	20555318.0	20555318.0	0.770327875808136
melanoma x Soskic_CD4	1_20	1		False	6521317.0	6521317.0	0.5264944167463029
melanoma x Soskic_CD4	1_21	1		False	8719977.0	8719977.0	0.8062250788335003
melanoma x Soskic_CD4	1_22	1		False	10918249.0	10918249.0	0.5963218340745767
melanoma x Soskic_CD4	1_23	1		False	13490860.0	13490860.0	0.8106913510994364
melanoma x Soskic_CD4	1_24	1		False	15884148.0	15884148.0	0.5746037555526784
melanoma x Soskic_CD4	1_25	1		False	18705345.0	18705345.0	0.926603113872546
melanoma x Soskic_CD4	1_26	1		False	11785979.0	11785979.0	0.8875111350396909
melanoma x Soskic_CD4	1_27	1		False	10249878.0	10249878.0	0.5836765435555878
melanoma x Soskic_CD4	1_28	1		False	8760355.0	8760355.0	0.8173421397723956
melanoma x Soskic_CD4	1_29	1		False	2925775.0	2925775.0	0.770327875808136
melanoma x Soskic_CD4	1_3	1		False	14398736.0	14398736.0	0.6553324435464742
melanoma x Soskic_CD4	1_30	1		False	174755.0	174755.0	0.473994851723363
melanoma x Soskic_CD4	1_31	1		False	899521.0	899521.0	0.9526733973874552
melanoma x Soskic_CD4	1_32	1		False	38940.0	38940.0	0.4436758562263233
melanoma x Soskic_CD4	1_33	1		False	1232236.0	1232236.0	0.7830707196295082
melanoma x Soskic_CD4	1_34	1		False	2676701.0	2676701.0	0.922667493236884
melanoma x Soskic_CD4	1_35	1		False	5708363.0	5708363.0	0.3192541533898165
melanoma x Soskic_CD4	1_36	1		False	8302042.0	8302042.0	0.5945615168089213
melanoma x Soskic_CD4	1_37	1		False	10607721.0	10607721.0	0.8173421397723956
melanoma x Soskic_CD4	1_38	1		False	12681230.0	12681230.0	0.804078112851686
melanoma x Soskic_CD4	1_39	1		False	14534026.0	14534026.0	0.304696028641554
melanoma x Soskic_CD4	1_4	1		False	8250200.0	8250200.0	0.3864178084713573
melanoma x Soskic_CD4	1_40	1		False	16658294.0	16658294.0	0.8207827305748526
melanoma x Soskic_CD4	1_41	1		False	18465376.0	18465376.0	0.978008889738616
melanoma x Soskic_CD4	1_42	1	175158635.0	True	20136133.0	20121429.0	0.0352840981582475
melanoma x Soskic_CD4	1_43	1		False	21200033.0	21200033.0	0.5100523660013497
melanoma x Soskic_CD4	1_44	1		False	20140524.0	20140524.0	0.6935499374954512
melanoma x Soskic_CD4	1_45	1		False	16675235.0	16675235.0	0.930208024792709
melanoma x Soskic_CD4	1_46	1		False	14856094.0	14856094.0	0.9590701848641336
melanoma x Soskic_CD4	1_47	1		False	845812.0	845812.0	0.8956909862247063
melanoma x Soskic_CD4	1_48	1	204588942.0	True	73995.0	42021.0	0.0352840981582475
melanoma x Soskic_CD4	1_49	1		False	536345.0	536345.0	0.6731282836458956
melanoma x Soskic_CD4	1_5	1		False	7101132.0	7101132.0	0.4928871226939847
melanoma x Soskic_CD4	1_50	1		False	1583891.0	1583891.0	0.8417878686940825
melanoma x Soskic_CD4	1_51	1		False	4682308.0	4682308.0	0.5084834589100321
melanoma x Soskic_CD4	1_52	1		False	3535185.0	3535185.0	0.7843119920809483
melanoma x Soskic_CD4	1_53	1	226349687.0	True	5491.0	5491.0	5.884058873473208e-06
melanoma x Soskic_CD4	1_54	1		False	6508075.0	6508075.0	0.5364482741114363
melanoma x Soskic_CD4	1_55	1		False	7895752.0	7895752.0	0.770327875808136
melanoma x Soskic_CD4	1_56	1		False	16893565.0	16893565.0	0.6700954747459885
melanoma x Soskic_CD4	1_57	1		False	18569498.0	18569498.0	0.6700954747459885
melanoma x Soskic_CD4	1_58	1		False	20295069.0	20295069.0	0.4788669864984165
melanoma x Soskic_CD4	1_6	1		False	4881720.0	4881720.0	0.8416112834623938
melanoma x Soskic_CD4	1_7	1		False	2348430.0	2348430.0	0.5971821891105529
melanoma x Soskic_CD4	1_8	1		False	1012842.0	1012842.0	0.1165734513256871
melanoma x Soskic_CD4	1_9	1		False	3423682.0	3423682.0	0.6700954747459885
melanoma x Soskic_CD4	20_0	20		False	24565649.0	24565649.0	0.3061466943598235
melanoma x Soskic_CD4	20_1	20		False	22268606.0	22268606.0	0.2321538350985686
melanoma x Soskic_CD4	20_10	20		False	13476799.0	13476799.0	0.794213817547244
melanoma x Soskic_CD4	20_11	20		False	14444897.0	14444897.0	0.224040271879575
melanoma x Soskic_CD4	20_12	20		False	12783088.0	12783088.0	0.794213817547244
melanoma x Soskic_CD4	20_13	20		False	4627520.0	4627520.0	0.770327875808136
melanoma x Soskic_CD4	20_14	20		False	1253352.0	1253352.0	0.5100523660013497
melanoma x Soskic_CD4	20_15	20		False	312434.0	312434.0	0.8754154033799069
melanoma x Soskic_CD4	20_2	20		False	21140685.0	21140685.0	0.9867148267838624
melanoma x Soskic_CD4	20_3	20		False	9638812.0	9638812.0	0.4788669864984165
melanoma x Soskic_CD4	20_4	20		False	7620987.0	7620987.0	0.8454306517873427
melanoma x Soskic_CD4	20_5	20		False	1207118.0	1207118.0	0.930208024792709
melanoma x Soskic_CD4	20_6	20		False	1196159.0	1196159.0	0.2466090809600944
melanoma x Soskic_CD4	20_7	20		False	3615000.0	3615000.0	0.770327875808136
melanoma x Soskic_CD4	20_8	20		False	9382558.0	9382558.0	0.939953855728386
melanoma x Soskic_CD4	20_9	20		False	11250928.0	11250928.0	0.7729595146247665
melanoma x Soskic_CD4	21_0	21		False	27145740.0	27145740.0	0.7007483316845232
melanoma x Soskic_CD4	21_1	21		False	23586302.0	23586302.0	0.8417878686940825
melanoma x Soskic_CD4	21_2	21		False	15746046.0	15746046.0	0.8515415636873876
melanoma x Soskic_CD4	21_3	21		False	12292932.0	12292932.0	0.6428646898113276
melanoma x Soskic_CD4	21_4	21		False	7386767.0	7386767.0	0.5958168045497619
melanoma x Soskic_CD4	21_5	21		False	4147541.0	4147541.0	0.5904904702402957
melanoma x Soskic_CD4	21_6	21		False	2215322.0	2215322.0	0.6129824172484699
melanoma x Soskic_CD4	21_7	21		False	623256.0	623256.0	0.4039990176574948
melanoma x Soskic_CD4	22_0	22		False	5676039.0	5676039.0	0.850704969412195
melanoma x Soskic_CD4	22_1	22		False	2554698.0	2554698.0	0.781676076721334
melanoma x Soskic_CD4	22_10	22		False	147052.0	147052.0	0.4064456494553187
melanoma x Soskic_CD4	22_11	22		False	30926.0	30926.0	0.6700954747459885
melanoma x Soskic_CD4	22_2	22		False	975579.0	975579.0	0.6013682588486736
melanoma x Soskic_CD4	22_3	22		False	484335.0	484335.0	0.3811992583684619
melanoma x Soskic_CD4	22_4	22		False	5532196.0	5532196.0	0.4788669864984165
melanoma x Soskic_CD4	22_5	22		False	6627248.0	6627248.0	0.3247399420283632
melanoma x Soskic_CD4	22_6	22		False	357747.0	357747.0	0.5084834589100321
melanoma x Soskic_CD4	22_7	22		False	902440.0	902440.0	0.7662691515174292
melanoma x Soskic_CD4	22_8	22		False	2145815.0	2145815.0	0.4436758562263233
melanoma x Soskic_CD4	22_9	22		False	1245126.0	1245126.0	0.8454306517873427
melanoma x Soskic_CD4	2_0	2		False	25062219.0	25062219.0	0.8053241979507086
melanoma x Soskic_CD4	2_1	2		False	21781872.0	21781872.0	0.5464207855525326
melanoma x Soskic_CD4	2_10	2		False	4083471.0	4083471.0	0.8445460489408505
melanoma x Soskic_CD4	2_11	2		False	5824938.0	5824938.0	0.9120392102242578
melanoma x Soskic_CD4	2_12	2		False	7475376.0	7475376.0	0.8672893586450833
melanoma x Soskic_CD4	2_13	2		False	8479511.0	8479511.0	0.770327875808136
melanoma x Soskic_CD4	2_14	2		False	10090531.0	10090531.0	0.8428762404971208
melanoma x Soskic_CD4	2_15	2		False	15994083.0	15994083.0	0.4788669864984165
melanoma x Soskic_CD4	2_16	2		False	17596116.0	17596116.0	0.8754154033799069
melanoma x Soskic_CD4	2_17	2		False	23067681.0	23067681.0	0.6781000583503685
melanoma x Soskic_CD4	2_18	2		False	26908794.0	26908794.0	0.930208024792709
melanoma x Soskic_CD4	2_19	2		False	30293583.0	30293583.0	0.794213817547244
melanoma x Soskic_CD4	2_2	2		False	13562965.0	13562965.0	0.3192541533898165
melanoma x Soskic_CD4	2_20	2		False	36070978.0	36070978.0	0.794213817547244
melanoma x Soskic_CD4	2_21	2		False	47356407.0	47356407.0	0.6798950946913123
melanoma x Soskic_CD4	2_22	2		False	35464637.0	35464637.0	0.770327875808136
melanoma x Soskic_CD4	2_23	2		False	26243957.0	26243957.0	0.5609136711574241
melanoma x Soskic_CD4	2_24	2		False	22638587.0	22638587.0	0.6553324435464742
melanoma x Soskic_CD4	2_25	2		False	21438746.0	21438746.0	0.7830707196295082
melanoma x Soskic_CD4	2_26	2		False	14979437.0	14979437.0	0.8860148695499188
melanoma x Soskic_CD4	2_27	2		False	6830104.0	6830104.0	0.4456466161083744
melanoma x Soskic_CD4	2_28	2		False	4322905.0	4322905.0	0.9461932084760324
melanoma x Soskic_CD4	2_29	2		False	3140313.0	3140313.0	0.4788669864984165
melanoma x Soskic_CD4	2_3	2		False	9731581.0	9731581.0	0.4664502934247178
melanoma x Soskic_CD4	2_30	2		False	1223216.0	1223216.0	0.8794459562571854
melanoma x Soskic_CD4	2_31	2		False	16585812.0	16585812.0	0.8592682402125809
melanoma x Soskic_CD4	2_32	2		False	17975350.0	17975350.0	0.9665559591021716
melanoma x Soskic_CD4	2_33	2		False	24543013.0	24543013.0	0.8048945525427977
melanoma x Soskic_CD4	2_34	2		False	31580125.0	31580125.0	0.8988438284801545
melanoma x Soskic_CD4	2_35	2		False	29898447.0	29898447.0	0.499809635494473
melanoma x Soskic_CD4	2_36	2		False	26099797.0	26099797.0	0.8173421397723956
melanoma x Soskic_CD4	2_37	2		False	22015155.0	22015155.0	0.9456123361928812
melanoma x Soskic_CD4	2_38	2		False	10754078.0	10754078.0	0.850704969412195
