row	pmid	pmc	journal	year	criterion	evidence	coder2	coder2_note
21	40638267	PMC12626534	International journal of surgery (London, England)	2025	C3_power_stability	interpretability and translational value of our findings. Sixth, while the use of DLPFC-derived QTL datasets offers considerable statistical power and is supported by evidence of cross-regional QTL sharing, the reliance on a single brain region may not fully capture the spati ||| t to GBM pathogenesis. Seventh, the sample size of the proteomic confirmatory cohort was relatively limited, which may reduce the statistical power to validate associations identified in the discovery phase. While this constraint reflects the current scarcity of brain tissues	0	QTL and confirmatory proteomic-cohort power, not outcome-GWAS candidate-list stability.
22	42445075	PMC13358490	Gland surgery	2026	C1_known_locus	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
23	40495162	PMC12150496	Nutrition &amp; metabolism	2025	C3_power_stability	y demographic factors, diet, or medication. The presence of heterogeneity and reduced inter-individual variability diminishes the statistical power and robustness of the results. Additionally, the majority of individuals in the GWAS studies are of European ancestry, with limit ||| 18 29618318 77. Delongchamp R Faramawi MF Feingold E Chung D Abouelenein S The association between SNPs and a quantitative trait: power calculation Eur J Environ Public Health 2018 2 2 10 31259311 10.20897/ejeph/3925 PMC6599598 Delongchamp R, Faramawi MF, Feingold E, Chung D, ||| PMC6599598 Delongchamp R, Faramawi MF, Feingold E, Chung D, Abouelenein S. The association between SNPs and a quantitative trait: power calculation. Eur J Environ Public Health. 2018;2(2):10. 31259311 10.20897/ejeph/3925 PMC6599598 78. Li S Schooling CM A phenome-wide associat	0	Generic heterogeneity/power-calculation text; no candidate-list comparison across outcome GWAS.
24	42116389	PMC13166711	Medicine	2026	C3_power_stability	. The external validation datasets, particularly the bulk RNA-seq with a very small sample size (n = 3 vs 3), may lack sufficient statistical power to conclusively validate differential expression for all genes, especially for genes with subtle changes or cell-type-specific ro	0	Small RNA-seq validation dataset, not an alternative outcome GWAS.
25	38735387	PMC11976564	Journal of advanced research	2025	C3_power_stability	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
26	41650073	PMC12885728	Medicine	2026	C1_known_locus	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
27	39794838	PMC11720623	Alzheimer's research &amp; therapy	2025	C1_known_locus	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
28	41650073	PMC12885728	Medicine	2026	C3_power_stability	ut pleiotropy or heterogeneity, especially considering the limited number of SNPs per miRNA (at least 3, but potentially reducing statistical power for detection). However, this study has several limitations. First, despite validation across multiple independent cohorts, the p	0	Instrument-count power and generic independent-cohort validation; no outcome-GWAS list comparison.
29	40771899	PMC12327419	Journal of inflammation research	2025	C3_power_stability	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
30	40771899	PMC12327419	Journal of inflammation research	2025	C1_known_locus	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
31	42232515	PMC13225775	Frontiers in genetics	2026	C3_power_stability	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
32	40653482	PMC12257706	Journal of translational medicine	2025	C1_known_locus	4 ] signals for the novel candidate causal gene, PABPC1 . As shown in Fig. 4 A–C, PABPC1 is indicated to be affected by the lead GWAS significant loci rs1693551 (GWAS P-value: 1.785e−08; Beta: 0.0459 from Bellenguez et al. [ 4 ] AD GWAS summary statistics data). Our analysis ind	0	Names an AD GWAS locus for PABPC1 but does not compare the paper's signals with a prior known-locus list.
33	39799347	PMC11725218	Journal of translational medicine	2025	C1_known_locus	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
34	40775364	PMC12329876	Human genomics	2025	C1_known_locus	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
35	42116389	PMC13166711	Medicine	2026	C1_known_locus	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
36	41845457	PMC12998140	Journal of translational medicine	2026	C1_known_locus	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
37	40653482	PMC12257706	Journal of translational medicine	2025	C3_power_stability	s, the number of individuals carrying the risk allele was much lower than those without it (Figure S15). This imbalance may limit statistical power for eQTL analysis and impact the detection of causal gene. Future studies with larger sample sizes, better brain sample quality,	0	eQTL allele imbalance and eQTL power, not outcome-GWAS candidate-list stability.
38	41288822	PMC12647496	Discover oncology	2025	C3_power_stability	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
39	42022794	PMC13096692	Human mutation	2026	C3_power_stability	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
40	41143248	PMC12549628	Frontiers in aging neuroscience	2025	C1_known_locus	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
41	42033474	PMC13247016	Cellular and molecular neurobiology	2026	C1_known_locus	Unlike prior studies that inferred NVU involvement indirectly, our results provide direct evidence linking genetic variants to ischemic stroke susceptibility via cell-type–specific gene expression patterns in NVU-resident cell types.	0	Contrasts direct versus indirect NVU evidence, not own signals versus known outcome loci.
42	40095250	PMC11914663	Discover oncology	2025	C1_known_locus	Compared with a previous MR study reported by SUN [ 68 ], we used two independent sets of GWAS results data and further validated them using SMR analysis to extend the analysis to nine common lipid-lowering drug targets.	0	Compares with a prior MR study and uses independent GWAS data, but does not perform a known-locus comparison.
43	42305302	PMC13266786	Archives of medical science : AMS	2026	C3_power_stability	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
44	39833228	PMC11746978	Scientific reports	2025	C1_known_locus	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
45	38316767	PMC10844634	Translational psychiatry	2024	C1_known_locus	38/ng.2982 24816252 PMC4064254 12. Wu JH Lemaitre RN Manichaikul A Guan W Tanaka T Foy M Genome-wide association study identifies novel loci associated with concentrations of four plasma phospholipid fatty acids in the de novo lipogenesis pathway: results from the Coho	0	The match is a reference-list title containing 'novel loci', which the rules explicitly exclude.
46	39076991	PMC11284051	Frontiers in immunology	2024	C1_known_locus	For MS, we used GWAS results of European populations reported by International Multiple Sclerosis Genetics Consortium in 2019 ( 14 ), contains 47,429 MS cases and 68,374 controls, including a total of 6,304,359 SNPs ( https://gwas.	0	Describes the MS outcome GWAS dataset only; no known-locus comparison.
47	39933264	PMC11867302	EBioMedicine	2025	C3_power_stability	of cases in the Long COVID dataset and COVID-19 outcome B1 (hospitalized COVID-19 vs. not hospitalized COVID-19), we had limited statistical power to identify causal genes in these groups compared with other COVID-19 outcomes. Third, the COVID-19 genome-wide association study	1	Smaller-case COVID-19 outcome datasets had limited ability to identify causal genes versus other outcomes.
48	38735387	PMC11976564	Journal of advanced research	2025	C1_known_locus	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
49	39130628	PMC11310057	Frontiers in pharmacology	2024	C3_power_stability	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
50	39076991	PMC11284051	Frontiers in immunology	2024	C3_power_stability	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
51	41603583	PMC12850000	FASEB journal : official publication of the Federation of American Societies for Experimental Biology	2026	C1_known_locus	0.5, min.pct = 0.25, and return.thresh = 0.01. According to the screened marker genes, the different cell clusters obtained were annotated to known cell types by combining the cellMarker database ( http://yikedaxue.slwshop.cn/ ) and the “singleR” package (v 2.0.0) [ 55 ]. Nota	0	Annotates clusters to known cell types, which the rules explicitly exclude.
52	41288822	PMC12647496	Discover oncology	2025	C1_known_locus	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
53	40629249	PMC12511179	Molecular neurobiology	2025	C3_power_stability	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
54	39130628	PMC11310057	Frontiers in pharmacology	2024	C1_known_locus	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
55	41603583	PMC12850000	FASEB journal : official publication of the Federation of American Societies for Experimental Biology	2026	C3_power_stability	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
56	40087664	PMC11909985	BMC cancer	2025	C3_power_stability	Ps as proxies for SLC12A3 respectively to assess the causal relationship between drug targets and the risk of PC (Table S1 ). The power calculation is presented in Table S4 . Specifically, the mean F statistics of the instruments were 135.74 for ADRB1, 48.08 for SLC12A3, and 5	0	Power calculation and F statistics for instruments, which the rules explicitly exclude.
57	39614330	PMC11606077	Breast cancer research : BCR	2024	C1_known_locus	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
58	41310897	PMC12661753	Hereditas	2025	C1_known_locus	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
59	39799347	PMC11725218	Journal of translational medicine	2025	C3_power_stability	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
60	41165397	PMC12584030	Translational vision science &amp; technology	2025	C1_known_locus	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
61	42089751	PMC13147455	Briefings in bioinformatics	2026	C3_power_stability	red in both cohorts, providing an opportunity for cross-cohort validation. Further details are provided in Table S1 . To increase statistical power, we performed a meta-analysis of COPD GWAS data using METAL [ 21 ] under a fixed-effects model weighted by effective sample size. ||| protein cohorts, highlighting its potential relevance to EOA pathogenesis. For COPD, the META2 cohort was used to ensure adequate statistical power while avoiding sample overlap with the datasets of pQTLs. The analysis integrated data from 812 748 individuals, encompassing 27 ||| e acknowledged. First, MR analyses rely primarily on GWAS data. Although meta-analyses of COPD GWAS were conducted to enhance the statistical power of SNP associations, the limited availability of genetic variant data for exposures remains an unavoidable challenge. Second, med	0	Power-enhancing outcome meta-analysis and exposure-protein cohort coverage; no candidate-list comparison by outcome GWAS.
62	41415264	PMC12709030	Cancer informatics	2025	C3_power_stability	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
63	41499168	PMC13138598	European thyroid journal	2026	C1_known_locus	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
64	40495162	PMC12150496	Nutrition &amp; metabolism	2025	C1_known_locus	ealth record text mining. Through a meta-analysis of the UK Biobank and FinnGen datasets (n total = 628,000), approximately 5,000 novel loci were identified [ 45 ]. In our study, we only used data from the European population. PheWAS datasets The data for PheWAS analys	0	Reports another study's novel-locus count, not overlap of this paper's own signals with known loci.
65	39354406	PMC11443760	BMC cardiovascular disorders	2024	C1_known_locus	As is previously reported, MR analysis between filtered (removing linkage disequilibrium and retaining the SNPs that is significantly correlated with the exposure phenotype and meet the core assumption of MR analysis) pQTL/eQTL data and GWAS phenotype data combined with sensitivity analysis including bidirectional Mendelian randomization analysis and Steiger filtering was used to identify potential causal plasma proteins for diseases to find new therapeutic targets [ 14 – 16 ].	0	Generic description of a previously reported MR method; no known-locus comparison.
66	39933264	PMC11867302	EBioMedicine	2025	C1_known_locus	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
67	41778435	PMC12958419	Archives of Iranian medicine	2025	C3_power_stability	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
68	42563458	PMC13448146	Pain research &amp; management	2026	C1_known_locus	Although previous studies have reported elevated purine metabolites such as ATP in neuropathic pain [ 29 ], this study provides genetic evidence supporting associations between purine‐pathway genes to TN susceptibility.	0	Prior evidence concerns purine metabolites, not overlap with known trigeminal-neuralgia loci.
69	41216857	PMC12697907	Advanced science (Weinheim, Baden-Wurttemberg, Germany)	2025	C1_known_locus	Global Biobank Meta‐Analysis Initiative (GBMI) Global Biobank Meta‐analysis Initiative (GBMI) is a collaborative network containing multiple biobanks collaborating through meta‐analysis with established resources of genotype, phenotype, and GWAS to develop a global and growing resource for human genetics research ( https://www.	0	Describes the GBMI resource; no comparison of own results with known loci.
70	42089751	PMC13147455	Briefings in bioinformatics	2026	C1_known_locus	These metrics are consistent with those reported in large-scale GWAS meta-analyses of complex traits [ 45 ], reflecting the polygenic and complex genetic architecture of COPD.	0	Compares general genetic-architecture metrics, not own signals with a prior locus list.
71	42022794	PMC13096692	Human mutation	2026	C1_known_locus	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
72	40095250	PMC11914663	Discover oncology	2025	C3_power_stability	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
73	41310897	PMC12661753	Hereditas	2025	C3_power_stability	and weighted mode [ 37 , 38 ]. To investigate potential horizontal pleiotropy, we conducted MR-Egger analysis, despite its lower statistical power compared to IVW. Furthermore, causal heterogeneity across multiple genetic variants was assessed using the Cochran Q test [ 39 ].	0	Lower power of MR-Egger versus IVW, not outcome-GWAS candidate-list stability.
74	40248742	PMC12000963	Translational lung cancer research	2025	C3_power_stability	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
75	40131544	PMC11937463	Cancer immunology, immunotherapy : CII	2025	C1_known_locus	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
76	39833228	PMC11746978	Scientific reports	2025	C3_power_stability	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
77	40248742	PMC12000963	Translational lung cancer research	2025	C1_known_locus	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
78	39794838	PMC11720623	Alzheimer's research &amp; therapy	2025	C3_power_stability	uidelines (STROBE-MR) [ 16 ] (Table S1 ). The online tool mRnd ( https://shiny.cnsgenomics.com/mRnd/ ) was utilized to assess the statistical power and calculate the results. Identification of drug target genes The commonly prescribed antihypertensive medications, including AC ||| e exposure of interest (i.e., target gene expression). This can distort MR tests, leading to inaccurate causal estimates, reduced statistical power, and potential false-positive causal relationships. Therefore, we assessed horizontal pleiotropy by examining the available assoc ||| bility to perform tissue-specific analysis is currently limited by the sample size of available eQTL datasets. Thus, insufficient statistical power cannot be ruled out. Although previous studies have linked lower CSF ACE levels with an increased risk of AD, our research is lim	0	Power calculation, pleiotropy, and eQTL sample-size text; no outcome-GWAS list comparison.
79	40131544	PMC11937463	Cancer immunology, immunotherapy : CII	2025	C3_power_stability	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
80	42445075	PMC13358490	Gland surgery	2026	C3_power_stability	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
81	41029778	PMC12487246	Hereditas	2025	C3_power_stability	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
82	41778435	PMC12958419	Archives of Iranian medicine	2025	C1_known_locus	However, a limited number of reported MR studies are currently integrating GWAS and expression quantitative trait loci (eQTL) data.	0	Generic statement about the number of prior MR studies; no known-locus comparison.
83	38316767	PMC10844634	Translational psychiatry	2024	C3_power_stability	netic methods, such as transcriptome-wide association study (TWAS), should be considered in future studies to further improve the statistical power and identify true causal genes with functions [ 67 – 70 ]. Previous studies have affirmed the role of the anterior cingulate cort ||| d uncorrelated pleiotropy [ 41 ]. While, the causal effect of FADS2 gene was only observed using the IVW method. Despite the good statistical power from both IVW or MRAID analysis [ 41 ], the effect of FADS2 on cognitive function needs to be investigated in future studies. Imp ||| -cell sequencing cis-eQTL data of gene expression and GWAS data of cognitive function, which brought good instrument strength and statistical power to our study. Second, traditional studies tend to focus on the association between omega-3 fatty acids and cognition, while we pr ||| ndrocytes, which showed good instrument strength. Large-scale single-cell eQTL studies are needed in the future to provide better statistical power. In conclusion, our MR analysis showed novel insight between FADS1/FADS2 gene expression and cognitive function by using tissue a	0	Generic MR/instrument/exposure-eQTL power statements; no outcome-GWAS list comparison.
84	40775364	PMC12329876	Human genomics	2025	C3_power_stability	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
85	42305302	PMC13266786	Archives of medical science : AMS	2026	C1_known_locus	Currently, little is known about the underlying mechanism by which greater IL2RA expression contributes to increased susceptibility to AD.	0	States limited knowledge of mechanism; no comparison with known outcome loci.
86	41104896	PMC12572761	Molecular medicine reports	2026	C1_known_locus	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
87	40629249	PMC12511179	Molecular neurobiology	2025	C1_known_locus	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
88	42563458	PMC13448146	Pain research &amp; management	2026	C3_power_stability	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
89	40463915	PMC12130657	Clinical Medicine Insights. Oncology	2025	C1_known_locus	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
90	41845457	PMC12998140	Journal of translational medicine	2026	C3_power_stability	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
91	40087664	PMC11909985	BMC cancer	2025	C1_known_locus	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
92	41528614	PMC12886693	Discover oncology	2026	C1_known_locus	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
