Chr	ProbeID	GeneticDistance	ProbeBp	Gene	Orientation	PathOfEsd
4	ENSG00000121895	0	39032922	ENSG00000121895	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000121895.esd
4	ENSG00000174749	0	112195256	ENSG00000174749	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000174749.esd
21	ENSG00000160194	0	42913304	ENSG00000160194	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000160194.esd
20	ENSG00000198171	0	3204685	ENSG00000198171	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000198171.esd
20	ENSG00000125877	0	3223870	ENSG00000125877	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000125877.esd
20	ENSG00000126005	0	35278131	ENSG00000126005	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000126005.esd
6	ENSG00000124588	0	3028869	ENSG00000124588	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000124588.esd
6	ENSG00000186470	0	26378320	ENSG00000186470	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000186470.esd
6	ENSG00000204525	0	31272130	ENSG00000204525	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000204525.esd
6	ENSG00000234745	0	31357188	ENSG00000234745	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000234745.esd
6	ENSG00000180992	0	44127457	ENSG00000180992	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000180992.esd
6	ENSG00000074935	0	112087529	ENSG00000074935	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000074935.esd
22	ENSG00000099977	0	23980469	ENSG00000099977	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000099977.esd
22	ENSG00000198832	0	31120069	ENSG00000198832	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000198832.esd
22	ENSG00000100410	0	41468725	ENSG00000100410	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000100410.esd
22	ENSG00000100376	0	45341955	ENSG00000100376	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000100376.esd
1	ENSG00000116771	0	15585110	ENSG00000116771	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000116771.esd
1	ENSG00000090621	0	39576790	ENSG00000090621	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000090621.esd
1	ENSG00000159479	0	43389808	ENSG00000159479	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000159479.esd
1	ENSG00000198734	0	169586588	ENSG00000198734	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000198734.esd
1	ENSG00000143799	0	226408079	ENSG00000143799	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000143799.esd
11	ENSG00000110665	0	2303049	ENSG00000110665	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000110665.esd
11	ENSG00000149489	0	62615120	ENSG00000149489	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000149489.esd
11	ENSG00000175334	0	66004149	ENSG00000175334	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000175334.esd
11	ENSG00000173156	0	67072013	ENSG00000173156	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000173156.esd
11	ENSG00000159063	0	78139660	ENSG00000159063	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000159063.esd
11	ENSG00000246174	0	78175323	ENSG00000246174	+	D:/R_ex/MR\esd_meta\CD4_Naive_stim_40h__ENSG00000246174.esd
