pmid	title	abstract	journal	year	pmc	eligible
38701500	Association of glucagon-like peptide-1 receptor agonists with risk of cancers-evidence from a drug target Mendelian randomization and clinical trials.	Glucagon-like peptide-1 receptor (GLP1R) agonists have been approved by Food and Drug Administration for management of obesity. However, the causal relationship of GLP1R agonists (GLP1RA) with cancers still unclear. The available cis-eQTLs for drugs target genes (GLP1R) were used as proxies for exposure to GLP1RA. Mendelian randomizations (MR) were performed to reveal the association of geneticall	International journal of surgery (London, England)	2024	PMC11325911	False
38735387	Association of intestinal anti-inflammatory drug target genes with psychiatric Disorders: A Mendelian randomization study.	Psychiatric disorders present a substantial global public health burden with limited drug options. The gut-brain axis connects inflammatory bowel diseases and psychiatric disorders, which often have comorbidities. While some evidence hints at anti-inflammatory drugs aiding in treating psychiatric conditions, the specific effects of intestinal anti-inflammatory drugs remain unclear. This study inve	Journal of advanced research	2025	PMC11976564	True
38783236	Identifying potential drug targets for idiopathic pulmonary fibrosis: a mendelian randomization study based on the druggable genes.	Idiopathic pulmonary fibrosis (IPF) is a chronic fibrotic interstitial lung disease characterized by progressive dyspnea and decreased lung function, yet its exact etiology remains unclear. It is of great significance to discover new drug targets for IPF. We obtained the cis-expression quantitative trait locus (cis-eQTL) of druggable genes from eQTLGen Consortium as exposure and the genome wide as	Respiratory research	2024	PMC11118997	True
38826220	Shared genetics linking sociability with the brain's default mode network.	The brain's default mode network (DMN) plays a role in social cognition, with altered DMN function being associated with social impairments across various neuropsychiatric disorders. In the present study, we examined the genetic relationship between sociability and DMN-related resting-state functional magnetic resonance imaging (rs-fMRI) traits. To this end, we used genome-wide association summary	medRxiv : the preprint server for health sciences	2024	PMC11142265	False
38858644	Integrated multi-omics analyses revealed the association between rheumatoid arthritis and colorectal cancer: MYO9A as a shared gene signature and an immune-related therapeutic target.	Our study aims to explore the relationship, shared gene signature, and the underlying mechanisms that connect rheumatoid arthritis (RA) to colorectal cancer (CRC). Mendelian randomization (MR) analysis was conducted to assess the causality between RA and CRC. Summary statistic data-based Mendelian randomization (SMR) leveraging eQTL data was employed to identify the CRC-related causal genes. Integ	BMC cancer	2024	PMC11165834	False
38903171	Therapeutic targets for age-related macular degeneration: proteome-wide Mendelian randomization and colocalization analyses.	Currently, effective therapeutic drugs for age-related macular degeneration (AMD) are urgently needed, and it is crucial to explore new treatment targets. The proteome is indispensable for exploring disease targets, so we conducted a Mendelian randomization (MR) of the proteome to identify new targets for AMD and its related subtypes. The plasma protein level data used in this study were obtained 	Frontiers in neurology	2024	PMC11187347	True
38933282	Identification of drug targets for Sj&#xf6;gren's syndrome: multi-omics Mendelian randomization and colocalization analyses.	Targeted therapy for Sj&#xf6;gren's syndrome (SS) has become an important focus for clinicians. Multi-omics-wide Mendelian randomization (MR) analyses have provided new ideas for identifying potential drug targets. We conducted summary-data-based Mendelian randomization (SMR) analysis to evaluate therapeutic targets associated with SS by integrating DNA methylation, gene expression and protein qua	Frontiers in immunology	2024	PMC11199405	False
38962008	Integrated analysis of single-cell RNA-seq, bulk RNA-seq, Mendelian randomization, and eQTL reveals T cell-related nomogram model and subtype classification in rheumatoid arthritis.	Rheumatoid arthritis (RA) is a systemic disease that attacks the joints and causes a heavy economic burden on humans worldwide. T cells regulate RA progression and are considered crucial targets for therapy. Therefore, we aimed to integrate multiple datasets to explore the mechanisms of RA. Moreover, we established a T cell-related diagnostic model to provide a new method for RA immunotherapy. scR	Frontiers in immunology	2024	PMC11219584	False
39039470	Multi-omics Mendelian randomization integrating GWAS, eQTL and pQTL data revealed GSTM4 as a potential drug target for migraine.	Migraine, as a complex neurological disease, brings heavy burden to patients and society. Despite the availability of established therapies, existing medications have limited efficacy. Thus, we aimed to find the drug targets that improve the prognosis of migraine. We used Mendelian Randomization (MR) and Summary-data-based MR (SMR) analyses to study possible drug targets of migraine by summary sta	The journal of headache and pain	2024	PMC11265128	False
39040085	Unraveling genetic threads: Identifying novel therapeutic targets for allergic rhinitis through Mendelian randomization.	Allergic rhinitis (AR) is a pervasive global health issue, and currently, there is a scarcity of targeted drug therapies available. This study aims to identify potential druggable target genes for AR using Mendelian randomization (MR) analysis. MR analysis was conducted to assess the causal effect of expression quantitative trait loci (eQTL) in the blood on AR. Data on AR were collected from 2 dat	The World Allergy Organization journal	2024	PMC11261789	True
39043809	Effects of genetically proxied statins on diabetic nephropathy and retinopathy: a Mendelian randomization study.	There is no reliable causal evidence for the effect of statins on diabetic nephropathy (DN) and diabetic retinopathy (DR), and the results of previous observational studies are contradictory. Genetic variants linked to low-density lipoprotein cholesterol (LDL-C) from a UK biobank genome-wide association study and located within a 100kb window around HMGCR were used to proxy statins, comparing with	Scientific reports	2024	PMC11266622	False
39055656	Identification of atrial fibrillation-related genes through transcriptome data analysis and Mendelian randomization.	Atrial fibrillation (AF) is a common persistent arrhythmia characterized by rapid and chaotic atrial electrical activity, potentially leading to severe complications such as thromboembolism, heart failure, and stroke, significantly affecting patient quality of life and safety. As the global population ages, the prevalence of AF is on the rise, placing considerable strains on individuals and health	Frontiers in cardiovascular medicine	2024	PMC11269132	True
39076991	Integrated analyses of single-cell transcriptome and Mendelian randomization reveal the protective role of FCRL3 in multiple sclerosis.	Multiple sclerosis (MS) represents a multifaceted autoimmune ailment, prompting the development and widespread utilization of numerous therapeutic interventions. However, extant medications for MS have proven inadequate in mitigating relapses and halting disease progression. Innovative drug targets for preventing multiple sclerosis are still required. The objective of this study is to discover nov	Frontiers in immunology	2024	PMC11284051	True
39085621	Decoding the genetic landscape of juvenile dermatomyositis: insights from phosphorylation-associated single nucleotide polymorphisms.	Genome-wide association studies (GWASs) have identified genetic susceptibility loci associated with juvenile dermatomyositis (JDM). Single nucleotide polymorphisms related to phosphorylation (phosSNPs) are critical nonsynonymous mutations exerting substantial influence on gene expression regulation. The aim of this study was to identify JDM susceptibility genes in the GWAS loci by the use of phosS	Immunogenetics	2024		False
39086896	Shared genetic correlations between kidney diseases and sepsis.	Clinical studies have indicated a comorbidity between sepsis and kidney diseases. Individuals with specific mutations that predispose them to kidney conditions are also at an elevated risk for developing sepsis, and vice versa. This suggests a potential shared genetic etiology that has not been fully elucidated. Summary statistics data on exposure and outcomes were obtained from genome-wide associ	Frontiers in endocrinology	2024	PMC11288879	False
39110588	Identification of Potential Drug Targets for Myopia Through Mendelian Randomization.	The purpose of this study was to identify potential drug targets for myopia and explore underlying mechanisms. Mendelian randomization (MR) was implemented to assess the effect of 2684 pharmacologically targetable genes in the blood and retina on the risk of myopia from a genomewide association study (GWAS) for age-at-onset of spectacle wearing-inferred mean spherical equivalent (MSE; discovery co	Investigative ophthalmology &amp; visual science	2024	PMC11314700	False
39130628	Integrating Mendelian randomization and single-cell RNA sequencing to identify therapeutic targets of baicalin for type 2 diabetes mellitus.	Alternative and complementary therapies play an imperative role in the clinical management of Type 2 diabetes mellitus (T2DM), and exploring and utilizing natural products from a genetic perspective may yield novel insights into the mechanisms and interventions of the disorder. To identify the therapeutic target of baicalin for T2DM, we conducted a Mendelian randomization study. Druggable targets 	Frontiers in pharmacology	2024	PMC11310057	True
39175752	Integrative analysis reveals novel insights into juvenile idiopathic arthritis pathogenesis and shared molecular pathways with associated traits.	Juvenile idiopathic arthritis (JIA) is an autoimmune joint disease that frequently co-occurs with other complex phenotypes, including cancers and other autoimmune diseases. Despite the identification of numerous risk variants through genome-wide association studies (GWAS), the affected genes, their connection to JIA pathogenesis, and their role in the development of associated traits remain unclea	Frontiers in genetics	2024	PMC11338781	False
39230170	Genome-Wide Identification of Cell Type-Specific Susceptibility Genes for SLE Through the Analysis of RNA Modification-Associated SNPs.	This study aimed to elucidate the functional genes associated with systemic lupus erythematosus (SLE) in various cell types through the utilization of RNAm-SNPs. Utilizing large-scale genetic data, we identified associations between RNAm-SNPs and SLE. The association between RNAm-SNPs and bulk and single-cell mRNA expression (eQTL) and protein levels (pQTL) were examined. Mendelian randomization a	Immunological investigations	2024		False
39268462	Identification of biomarkers and potential drug targets in osteoarthritis based on bioinformatics analysis and mendelian randomization.	Osteoarthritis (OA) can lead to chronic joint pain, and currently there are no methods available for complete cure. Utilizing the Gene Expression Omnibus (GEO) database for bioinformatics analysis combined with Mendelian randomization (MR) has been widely employed for drug repurposing and discovery of novel therapeutic targets. Therefore, our research focus is to identify new diagnostic markers an	Frontiers in pharmacology	2024	PMC11390638	True
39337460	CD4+ Effective Memory T Cell Markers GBP2 and LAG3 Are Risk Factors for PTB and COVID-19 Infection: A Study Integrating Single-Cell Expression Quantitative Trait Locus and Mendelian Randomization Analyses.	Observational studies indicate that variations in peripheral blood mononuclear cell (PBMC) subsets are associated with an increased risk of pulmonary tuberculosis (PTB) and coronavirus disease 2019 (COVID-19), but causal validation is lacking. Here, we combined single-cell expression quantitative trait locus (sc-eQTL) and two-sample mendelian randomization (MR) analyses to elucidate the causal rel	International journal of molecular sciences	2024	PMC11432203	False
39354406	Exploration of protein and genetic targets causing atrioventricular block: mendelian-randomization analyses based on eQTL data and pQTL data.	Atrioventricular block (AVB) is a heterogeneous group of arrhythmias. AVB can lead to sudden arrest of the heart and subsequent syncope or sudden cardiac death. Few scholars have investigated the underlying molecular mechanisms of AVB. Finding molecular markers can facilitate understanding of AVB and exploration of therapeutic targets. Two-sample Mendelian randomization (MR) analysis was undertake	BMC cardiovascular disorders	2024	PMC11443760	True
39358799	Identifying therapeutic targets for primary ovarian insufficiency through integrated genomic analyses.	Primary ovarian insufficiency (POI) is a disorder characterized by the premature decline in ovarian function, leading to significant fertility and health impacts on women under 40. The unclear etiology of POI hinders the development of effective treatments, highlighting the need for novel therapeutic targets. This study employed genome-wide association analysis (GWAS) integrated with expression qu	Journal of ovarian research	2024	PMC11446024	True
39379957	Lipid-lowering drugs and risk of rapid renal function decline: a mendelian randomization study.	Chronic kidney disease (CKD) patients face the risk of rapid kidney function decline leading to adverse outcomes like dialysis and mortality. Lipid metabolism might contribute to acute kidney function decline in CKD patients. Here, we utilized the Mendelian Randomization approach to investigate potential causal relationships between drug target-mediated lipid phenotypes and rapid renal function de	BMC medical genomics	2024	PMC11463126	True
39426601	Biological aging accelerates hepatic fibrosis: Insights from the NHANES 2017-2020 and genome-wide association study analysis.	This study aimed to investigate the association between biological aging and liver fibrosis in patients with metabolic dysfunction-associated steatotic liver disease (MASLD). We analyzed NHANES 2017-2020 data to calculate phenotypic age. Hepatic steatosis and fibrosis were identified using controlled attenuation parameters (CAP), fatty liver index (FLI) and transient elastography (TE). The odds ra	Annals of hepatology	2025		True
39437618	GNLY as A Novel Cis-eQTL and Cis-pQTL Mediated Susceptibility Gene in Suppressing Prostatitis. Mendelian Randomization Study.	Prostatitis is characterized by high prevalence, low cure rates, and frequent recurrences, and remains one of the most clinically challenging problems. Hence, in this article, we first integrated Mendelian randomization (MR) with expression quantitative trait loci (eQTL) and protein quantitative trait loci (pQTL) data to identify novel therapeutic targets and their potential metabolic mechanisms f	Archives of medical research	2025		True
39455528	Identification of JAZF1, KNOP1, and PLEKHA1 as causally associated genes and drug targets for Alzheimer's disease: a summary data-based Mendelian randomization study.	There is a growing body of evidence indicating the significant role of the immune system and immune cells in the progression of Alzheimer's disease (AD). However, the exact role of genes from various immune cell types in AD remains unclear. We aimed to utilize summary data-based Mendelian randomization (SMR) to explore the potential causal relationships between genes in specific immune cells and t	Inflammopharmacology	2024		True
39476438	Deciphering cell-specific genetic insights: Unraveling the immunogenetic landscape of systemic lupus erythematosus.	Functional genes within genomic loci associated with systemic lupus erythematosus (SLE), as identified by genome-wide association studies, exhibit cell-specific characteristics. This study delves into the impact of genetic variants within SLE loci on gene expression in different types of immune cells, unraveling the complex interplay between genetics and immunopathogenesis. Through the integration	Molecular immunology	2024		False
39496744	ELF1 serves as a potential biomarker for the disease activity and renal involvement in systemic lupus erythematosus.	Systemic lupus erythematosus (SLE) is an autoimmune disease that affects multiple organs, yet its underlying mechanisms remain unclear, and precise biomarkers are lacking. In this study, we employed Mendelian randomization and HEIDI tools to comprehensively analyze large-scale Genome-Wide Association Study (GWAS) and expression Quantitative Trait Loci (eQTL) data, leading to the identification of 	Scientific reports	2024	PMC11535329	False
39524107	From Phenotype to Molecules: Unveiling the Genetic and Immunological Bridges Between Autoimmune Diseases and Vitiligo.	Vitiligo is an autoimmune disease characterized by the loss of skin pigmentation. This study aims to explore genetic associations between vitiligo and 21 autoimmune diseases using Mendelian randomization (MR) analysis, with a focus on identifying potential risk and protective factors. We performed univariable and multivariable Mendelian randomization analyses to assess the causal associations betw	Clinical, cosmetic and investigational dermatology	2024	PMC11546147	False
39529882	Therapeutic targets for lung cancer: genome-wide Mendelian randomization and colocalization analyses.	Lung cancer, categorized into non-small cell lung cancer (NSCLC) and small cell lung cancer (SCLC), remains a significant global health challenge. The development of drug resistance and the heterogeneity of the disease necessitate the identification of novel therapeutic targets to improve patient outcomes. We conducted a genome-wide Mendelian randomization (MR) and colocalization analysis using a 	Frontiers in pharmacology	2024	PMC11551539	False
39541744	Dissecting the association between blood pressure traits, hypertension, antihypertensive medications and epilepsy: A Mendelian randomization study.	Observational studies suggest that hypertension and epilepsy have a high co-occurrence, and antihypertensive medications may have impacts on the prevention and treatment of epilepsy. However, the directionality of causation between them is elusive. By leveraging genome-wide association studies (GWAS) summary data of each trait, we firstly performed bidirectional univariate Mendelian randomization 	Epilepsy &amp; behavior : E&amp;B	2024		True
39563277	Leveraging large-scale multi-omics evidences to identify therapeutic targets from genome-wide association studies.	Therapeutic targets supported by genetic evidence from genome-wide association studies (GWAS) show higher probability of success in clinical trials. GWAS is a powerful approach to identify links between genetic variants and phenotypic variation; however, identifying the genes driving associations identified in GWAS remains challenging. Integration of molecular quantitative trait loci (molQTL) such	BMC genomics	2024	PMC11577829	False
39565569	Genetic Insights into Therapeutic Targets for Neuromyelitis Optica Spectrum Disorders: A Mendelian Randomization Study.	Neuromyelitis optica spectrum disorder (NMOSD) is a severe central nervous system disease primarily characterized by optic neuritis and myelitis, which can result in vision loss and limb paralysis. Current treatment options are limited in their ability to prevent relapses and mitigate disease progression, underscoring the urgent need for new drug targets to develop more effective therapies. The ob	Molecular neurobiology	2025		True
39578729	Plasma pQTL and brain eQTL integration identifies PNKP as a therapeutic target and reveals mechanistic insights into migraine pathophysiology.	Migraine is a prevalent neurological disorder affecting 14.1% of the global population. Despite advances in genetic research, further investigation is needed to identify therapeutic targets and better understand its mechanisms. In this study, we aimed to identify drug targets and explore the relationships between gene expression, protein levels, and migraine pathophysiology. We utilized cis-pQTL d	The journal of headache and pain	2024	PMC11585170	False
39614330	Uncovering immune cell-associated genes in breast cancer: based on summary data-based Mendelian randomized analysis and colocalization study.	Breast cancer, which is the most prevalent form of cancer among women globally, encompasses various subtypes that demand distinct treatment approaches. The tumor microenvironment and immune response are of crucial significance in the development and progression of breast cancer. Nevertheless, there has been scant evidence concerning the genes within breast cancer - specific immune cells. We utiliz	Breast cancer research : BCR	2024	PMC11606077	True
39631652	Illuminating the enigmatic pathogenesis of Kawasaki disease: Unveiling novel therapeutic avenues by targeting FCGR3B-S100A12 pathway.	Kawasaki disease (KD) primarily affects the pediatric population and exhibits a notable incidence of drug resistance, resulting in coronary artery damage and thrombosis. This study aimed to identify innovative therapeutic targets for KD treatment. By harnessing single-cell data derived from peripheral blood mononuclear cells, we identified differentially expressed genes. Through the integration of	European journal of pharmacology	2025		False
39669798	A cross-tissue transcriptome-wide association study identifies WDPCP as a potential susceptibility gene for coronary atherosclerosis.	Coronary atherosclerosis (CAS) is a complex chronic inflammatory disease with significant genetic and environmental contributions. While genome-wide association studies (GWAS) have pinpointed many risk loci, over 75&#xa0;% are in non-coding regions, complicating functional analysis and understanding gene-disease mechanisms. We conducted a cross-tissue transcriptome-wide association study (TWAS) us	Atherosclerosis plus	2024	PMC11635022	False
39703113	Causal Relationships Between Epilepsy, Anti-Epileptic Drugs, and Serum Vitamin D and Vitamin D Binding Protein: A Bidirectional and Drug Target Mendelian Randomization Study.	Previous studies suggest potential associations between epilepsy, anti-epileptic drugs (AEDs), and levels of vitamin D and vitamin D-binding protein (VDBP). This study aims to investigate the causal relationships among these variables using Mendelian Randomization (MR) methods. Using summary data from genome-wide association studies on serum 25-hydroxyvitamin D [25(OH)D] levels (N&#x2009;=&#x2009;	CNS neuroscience &amp; therapeutics	2024	PMC11659638	False
39707330	Identifying prioritization of therapeutic targets for ankylosing spondylitis: a multi-omics Mendelian randomization study.	To investigate the associations of methylation, expression, and protein quantitative trait loci (mQTL, eQTL, and pQTL) with ankylosing spondylitis (AS) and find out genetically supported drug targets for AS. The summary-data-based Mendelian randomization (SMR) and Bayesian co-localization analysis were used to assess the potential causality between AS and relevant genes. The GWAS data obtained fro	Journal of translational medicine	2024	PMC11662797	False
39716115	Systematic druggable genome-wide Mendelian randomization identifies therapeutic targets for hyperemesis gravidarum.	Hyperemesis gravidarum (HG), excessive vomiting in pregnancy, occurs in 0.3-10.8% of pregnancies and is associated with maternal and fetal morbidity. Despite the existence of several off-label treatment options that have shown clinical effectiveness in managing HG symptoms, the variability in treatment response highlights the need for more effective therapies. Our study aims to identify novel ther	BMC pregnancy and childbirth	2024	PMC11668092	True
39716299	Integrated Mendelian randomization and single-cell RNA-sequencing analyses identified OAS1 as a novel therapeutic target for erectile dysfunction via targeting fibroblasts.	Clinically, phosphodiesterase type 5 inhibitors (PDE5-Is) remain the first-line therapy for erectile dysfunction (ED) patients; however, approximately 35% of these patients are still failing to respond to the therapeutic effects. So, urgent needs are required to identify novel therapeutic targets for ED. Hence, in this report, it was the first time for us to integrate single-cell RNA-sequencing (s	Biology direct	2024	PMC11667973	True
39721452	c-JUN interacts with HDAC1 as a potential combinatorial therapeutic target in acute myeloid leukemia.	Acute myeloid leukemia (AML) is a biologically heterogeneous disease originating from the clonal expansion of hematopoietic stem cells (HSCs). Clonal expansion of hematopoietic stem cell progenitors (HSC-Prog), along with a block in differentiation, are hallmark features of AML. The disease is characterized by poor clinical outcomes, highlighting the urgent need for effective therapeutic strategie	International immunopharmacology	2025		False
39762453	Causal genes identification of giant cell arteritis in CD4+&#x2009;Memory t cells: an integration of multi-omics and expression quantitative trait locus analysis.	Giant cell arteritis (GCA) is a prevalent artery and is strongly correlated with age. The role of CD4+&#x2009;Memory T cells in giant cell arteritis has not been elucidated. Through single-cell analysis, we focused on the CD4+&#x2009;Memory T cells in giant cell arteritis. eQTL analysis and mendelian randomization analysis identified the significant genes which have a causal effect on giant cell a	Inflammation research : official journal of the European Histamine Research Society ... [et al.]	2025	PMC11703992	True
39762845	Association of genetically proxied cancer-targeted drugs with cardiovascular diseases through Mendelian randomization analysis.	Cancer-targeted therapies are progressively pivotal in oncological care. Observational studies underscore the emergence of cancer therapy-related cardiovascular toxicity (CTR-CVT), impacting patient outcomes. We aimed to investigate the causal relationship between different types of cancer-targeted therapies and cardiovascular disease (CVD) outcomes through a two-sample Mendelian randomization (MR	Journal of translational medicine	2025	PMC11702226	False
39778696	Identification of therapeutic target genes for age-related hearing loss through systematic genome-wide mendelian randomization of druggable genes.	Age-related hearing loss (ARHL) is a common sensory disorder with significant public health implications. However, few effective treatment options are available. Mendelian randomization (MR) has been used to repurpose existing drugs and identify new therapeutic targets. Therefore, we performed a systematic genome-wide MR of drug-eligible individuals to explore potential therapeutic targets for ARH	Experimental gerontology	2025		True
39779799	Genetic associations of plasma metabolites with immune cells in hyperthyroidism revealed by Mendelian randomization and GWAS-sc-eQTLs xQTLbiolinks analysis.	Mendelian randomization (MR)&#xa0;was employed to investigate the causal relationships between immune cell phenotypes, hyperthyroidism (HD), and potential metabolic mediators. In this study, we acquired 731 immune cell phenotypes from genome-wide association studies (GWAS) (n&#x2009;=&#x2009;18,622), HD data from the research by Handan Melike D&#xf6;nerta&#x15f; et al. (3,731 cases, 480,867 contro	Scientific reports	2025	PMC11711443	False
39781526	Global trends and risk factors in gastric cancer: a comprehensive analysis of the Global Burden of Disease Study 2021 and multi-omics data.	Background: Gastric cancer (GC) remains a significant global health challenge. This study aimed to comprehensively analyze GC epidemiology and risk factors to inform prevention and intervention strategies. Methods: We analyzed the Global Burden of Disease Study 2021 data, conducted 16 different machine learning (ML) models of NHANES data, performed Mendelian randomization (MR) studies on disease p	International journal of medical sciences	2025	PMC11704698	False
39794838	Association of antihypertensive drug target genes with alzheimer's disease: a mendelian randomization study.	Epidemiological and genetic studies have elucidated associations between antihypertensive medication and Alzheimer's disease (AD), with the directionality of these associations varying upon the specific class of antihypertensive agents. Genetic instruments for the expression of antihypertensive drug target genes were identified using expression quantitative trait loci (eQTL) in blood, which are as	Alzheimer's research &amp; therapy	2025	PMC11720623	True
39799347	Possible linking and treatment between Parkinson's disease and inflammatory bowel disease: a study of Mendelian randomization based on gut-brain axis.	Mounting evidence suggests that Parkinson's disease (PD) and inflammatory bowel disease (IBD) are closely associated and becoming global health burdens. However, the causal relationships and common pathogeneses between them are uncertain. Furthermore, they are uncurable. Thus, we aimed to identify the causal relationships and novel therapeutic targets shared between them based on their common path	Journal of translational medicine	2025	PMC11725218	True
39821516	Dissecting Causal Relationships Between Antihypertensive Drug, Gut Microbiota, and Type 2 Diabetes Mellitus and Its Complications: A Mendelian Randomization Study.	Limited research has investigated the impact of antihypertensive medications on type 2 diabetes mellitus (T2DM) and whether gut microbiome (GM) mediates this association. Thus, we conducted a two-sample Mendelian randomization (MR) analysis to estimate the potential impact of various antihypertensive drug target genes on T2DM and its complications. Genetic instruments for the expression of antihyp	Journal of clinical hypertension (Greenwich, Conn.)	2025	PMC11771784	True
39830273	Multi-Omics Analysis for Identifying Cell-Type-Specific Druggable Targets in Alzheimer's Disease.	Analyzing disease-linked genetic variants via expression quantitative trait loci (eQTLs) is important for identifying potential disease-causing genes. Previous research prioritized genes by integrating Genome-Wide Association Study (GWAS) results with tissue-level eQTLs. Recent studies have explored brain cell type-specific eQTLs, but they lack a systematic analysis across various Alzheimer's dise	medRxiv : the preprint server for health sciences	2025	PMC11741481	True
39830509	Myeloid dendritic cells and periodontal disease association: integrated study of single-cell sequencing and Mendelian randomization analysis.	Periodontal disease is a widespread inflammatory condition that compromises the supporting structures of the teeth, potentially resulting in tooth loss if left untreated. Despite advancements in therapeutic interventions and an enhanced understanding of its pathophysiology, emerging techniques such as single-cell RNA sequencing (scRNA-seq) and Mendelian randomization (MR) present new opportunities	Frontiers in immunology	2024	PMC11739323	False
39833228	Brain gliomas new transcriptomic discoveries from differentially expressed genes to therapeutic targets.	Gliomas are a prevalent form of primary malignant brain tumor, yet the intricate molecular mechanisms underlying its pathogenesis remain unclear. This study aimed to identify new genetic targets linked to glioma by analyzing microarray datasets to uncover genetic factors involved in its onset and progression. We obtained two independent glioma datasets from the Gene Expression Omnibus database, pr	Scientific reports	2025	PMC11746978	True
39847889	Genetic susceptibility and potential therapeutic targets of unruptured intracranial aneurysms: A genome-wide study based on Mendelian randomization.	At present, although some studies have offered certain insights into the genetic factors related to unruptured intracranial aneurysms (uIAs), the potential genetic targets associated with uIAs remain largely unknown. Thus, this research adopted Mendelian randomization (MR) analysis to study two genome-wide association studies on uIAs, aiming to determine the reliable genetic susceptibility and pot	Clinical neurology and neurosurgery	2025		True
