Chr	ProbeID	GeneticDistance	ProbeBp	Gene	Orientation	PathOfEsd
12	ENSG00000111144	0	96043520	ENSG00000111144	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_16h__ENSG00000111144.esd
21	ENSG00000160194	0	42913304	ENSG00000160194	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_16h__ENSG00000160194.esd
21	ENSG00000182871	0	45513720	ENSG00000182871	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_16h__ENSG00000182871.esd
14	ENSG00000165410	0	34714823	ENSG00000165410	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_16h__ENSG00000165410.esd
16	ENSG00000260349	0	9107174	ENSG00000260349	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_16h__ENSG00000260349.esd
11	ENSG00000236935	0	64329504	ENSG00000236935	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_16h__ENSG00000236935.esd
11	ENSG00000159063	0	78139660	ENSG00000159063	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_16h__ENSG00000159063.esd
18	ENSG00000167220	0	47150520	ENSG00000167220	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_16h__ENSG00000167220.esd
22	ENSG00000100376	0	45341955	ENSG00000100376	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_16h__ENSG00000100376.esd
9	ENSG00000107020	0	5437878	ENSG00000107020	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_16h__ENSG00000107020.esd
10	ENSG00000166275	0	102864961	ENSG00000166275	+	D:/R_ex/MR\esd_meta\CD4_Memory_stim_16h__ENSG00000166275.esd
